"CERT","CHCLASS1","CITYST","COST","FAILDATE","FIN","ID","NAME","QBFASSET","QBFDEP","RESTYPE","RESTYPE1","SAVR"
27882,"SL","MIDDLETOWN, OH",5422,"12/27/1983","0","841","CITIZENS S&LA",63594,50908,"ASSISTANCE","A/A","FSLIC"
431,"NM","RED OAK, OK",2806,"12/16/1983","2368","840","THE BANK OF RED OAK",11135,10489,"FAILURE","PA","FDIC"
1731,"NM","HACKLEBURG, AL",1847,"12/13/1983","2367","839","BANK OF HACKLEBURG",6531,6421,"FAILURE","PA","FDIC"
23674,"NM","SAN JUAN, PR",9237,"12/9/1983","2366","838","UNION TRUST COMPANY",30578,25653,"FAILURE","PA","FDIC"
31114,"SL","LAKE CHARLES, LA",10870,"12/2/1983","7507","837","METRO FS&LA",27381,18509,"FAILURE","IDT","FSLIC"
30478,"SL","ST. LOUIS, MO",2500,"12/1/1983","0","836","BOHEMIAN S&LA",168567,173188,"ASSISTANCE","A/A","FSLIC"
11692,"NM","ATKINSON, IL",9470,"11/25/1983","6449","835","ATKINSON TRUST & SAVINGS BANK",21074,18511,"FAILURE","IDT","FDIC"
28768,"SL","FORT WAYNE, IN",17296,"11/14/1983","0","831","FIRST FS&LA OF FT. WAYNE",298108,267167,"ASSISTANCE","A/A","FSLIC"
29453,"SL","SOUTH BEND, IN",4682,"11/14/1983","0","832","SOUTH BEND FS&LA",71417,71483,"ASSISTANCE","A/A","FSLIC"
31275,"SL","FORT WAYNE, IN",3404,"11/14/1983","0","833","AMERICAN FS&LA",55358,46430,"ASSISTANCE","A/A","FSLIC"
31557,"SL","FORT WAYNE, IN",2198,"11/14/1983","0","834","FT. WAYNE FS&LA",37028,30992,"ASSISTANCE","A/A","FSLIC"
2166,"N","BROWNING, MT",3123,"11/11/1983","5448","830","FIRST NAT BK OF BROWNING",13703,13366,"FAILURE","PO","FDIC"
31281,"SL","CLOVIS, NM",20832,"11/3/1983","7506","829","STATE OF CLOVIS, SA",30904,30147,"FAILURE","IDT","FSLIC"
30642,"SL","CLEVELAND, OH",15946,"10/28/1983","0","828","CLEVELAND COMMUNITY SAVINGS CO.",21027,17336,"FAILURE","IDT","FSLIC"
3343,"N","MIDLAND, TX",526577,"10/14/1983","2365","826","THE FIRST NAT BK OF MIDLAND",1409639,780076,"FAILURE","PA","FDIC"
30396,"SB","COLUMBIA, SC",,"10/14/1983","0","827","FIRST CAROLINA FS&LA",98290,96539,"ASSISTANCE","A/A","FSLIC"
22807,"NM","REDMOND, OR",4251,"10/7/1983","2364","825","THE DESCHUTES BANK",10207,10021,"FAILURE","PA","FDIC"
15955,"MI","AUBURN, NY",0,"10/1/1983","1919","824","AUBURN SAVINGS BANK",133184,131382,"ASSISTANCE","A/A","FDIC"
